chat| mammifère domestique | cat 

Europe| continent situé à l'ouest de l'Asie | Europe 

guerre| conflit entre deux ou plusieurs groupes | war 

habit| vêtement que l'on porte sur le corps | dress 

livre| ouvrage écrit | book 

livre| ouvrage écrit | book 

marche| manière de se déplacer à pied | walk 

neige| eau gelée tombant du ciel en flocons | snow 

sage| qui possède une grande sagesse | wise 

table| meuble plat horizontal soutenu par des pieds | table 

zèbre| mammifère herbivore de la famille des chevaux | zebra 
danger| risque | danger 

globe| sphère | globe 

travail| activité à laquelle on emploie son temps et ses efforts | work 

utile| qui est utile | useful 

amour| sentiment d'affection intense | love 

bateau| embarcation | boat 

femme| personne de sexe féminin | woman 

four| appareil de cuisson | oven 

idée| pensée | idea 

important| qui a de l'importance | important 

papiers| ensemble de documents | papers 

raison| faculté de penser et de juger | reason 

science| ensemble des connaissances humaines | science 

usine| bâtiment où l'on fabrique des produits | factory 

verre| matériau transparent et fragile | glass 

voiture| véhicule automobile à quatre roues | car 

dormir| être en état de repos pendant lequel les muscles sont relâchés | sleep 

eau| liquide incolore  inodore  insipide  transparent | water 

étoile| corps céleste brillant | star 

jouer| s'amuser | play 

jouer| s'amuser | play 

nécessaire| qui est indispensable | necessary 

pantalon| vêtement qui couvre les jambes du corps | pants 

terrain| pièce de terre | land 

vent| courant d'air | wind 

air| gaz incolore , inodore , insipide et transparent | air 

arbre| plante ligneuse à plusieurs branches | tree 

chemin| voie de communication | path 

docteur| médecin | doctor 

grand| de grande taille | big 

question| demande qui attend une réponse | question 

santé| état physique et mental d'une personne | health 

tête| partie supérieure du corps qui contient le cerveau | head 

vacances| période de repos pendant laquelle on ne travaille pas | vacation 

jamais| adverbe de négation signifiant 'à aucun moment' | never 

jugement| faculté de discerner | judgment 

justice| principe d'équité | justice 

main| membre supérieur du corps humain | hand 

nature| l'ensemble des êtres vivants et des choses non fabriquées | nature 

passeport| document permettant de voyager à l'étranger | passport 

savon| produit utilisé pour se laver | soap 

bouche| orifice servant à manger parler  respirer | mouth 

foi| croyance en quelque chose | faith 

habitude| manière de faire ou de penser qui est répétée | habit 

hôtel| établissement qui offre des chambres et des services aux voyageurs ,
|(null)
jour| période de lumière entre le lever et le coucher du soleil | day 

lettre| signe d'un alphabet | letter 

nuit| période d'obscurité entre le coucher et le lever du soleil | night 

parc| grand espace vert aménagé | park 

automne| saison entre l'été et l'hiver | autumn 

carte| représentation plane d'une région | map 

joie| sentiment de bonheur et de plaisir | joy 

radio| appareil permettant d'écouter des émissions | radio 

temps| durée  succession d'instants | time 

azur| couleur bleu clair | azure 

bras| membre supérieur du corps humain | arm 

brave| courageux | brave 

camarade| personne avec qui on partage une activité | companion 

fruit| organe reproducteur des plantes à fleurs | fruit 

hier| jour X | yesterday 

jardin| terrain planté d'arbres et de fleurs | garden 

pain|| bread 

grain| petite partie d'une matière solide | grain 

jaloux| qui éprouve de la jalousie | jealous 

mari| homme uni à une femme par le mariage | husband 

océan| grande étendue d'eau salée | ocean 

seconde| unité de temps | second 

chose| objet ou  être ou un  événement | thing 

gaz| substance qui n'a ni forme ni volume propre | gas 

manger| absorber de la nourriture | eat 

neurone| cellule nerveuse | neuron 

xylophone| instrument de musique à percussion | xylophone 

dent| pièce dure et blanche qui se trouve dans la bouche | tooth 

école| établissement d'enseignement | school 

hôpital| établissement de soins pour les malades | hospital 

lumière| rayonnement électromagnétique | light 

outil| objet servant à effectuer un travail | tool 

reine| femme qui règne sur un royaume | queen 

taille| hauteur d'une personne | height 

abîmer| endommager | damage 

froid| sensation de température basse | cold 

frein| dispositif servant à arrêter ou ralentir un véhicule | brake 

jeu| activité qui permet de s'amuser | game 

lire| déchiffrer un texte écrit | read 

loi| règle établie par l'autorité | law 

langue| organe musculaire situé dans la bouche | tongue 

lapin| petit mammifère aux longues oreilles | rabbit 

lire| déchiffrer un texte écrit | read 

loi| règle établie par l'autorité | law 

mer| grande étendue d'eau salée | sea 

objet| chose | object 

parle| action de communiquer à l'aide de la voix | speak 

abondance| grande quantité | abundance 

dix| nombre naturel qui suit neuf et précède onze | ten 

